from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id,max_waiting_time
U454Z301,U454Z3P,1,,1301_9351_241215,212_694_250721,600
U454Z301,U454Z3P,1,,1301_9351_241216,212_694_250721,600
U454Z301,U454Z3P,1,,1301_9351_250728,212_694_250721,600
U454Z301,U454Z3P,1,,1301_9353_241216,212_696_250721,600
U454Z301,U454Z3P,1,,1301_9353_241215,212_696_250721,600
U454Z301,U454Z3P,1,,1301_9353_250728,212_696_250721,600
U454Z301,U454Z3P,1,,1301_9355_241215,212_698_250721,600
U454Z301,U454Z3P,1,,1301_9355_241216,212_698_250721,600
U454Z301,U454Z3P,1,,1301_9355_250728,212_698_250721,600
U454Z301,U454Z3P,1,,1301_8651_241215,212_700_250721,600
U454Z301,U454Z3P,1,,1301_8651_250726,212_700_250721,600
U454Z301,U454Z3P,1,,1301_9357_241215,212_702_250721,600
U454Z301,U454Z3P,1,,1301_9357_250726,212_702_250721,600
U454Z301,U454Z3P,1,,1301_8653_241215,212_704_250721,600
U454Z301,U454Z3P,1,,1301_8653_250726,212_704_250721,600
