service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000010_TR12,0,0,0,0,0,1,0,20250802,20251206
0000101_TR3,0,0,0,0,1,0,1,20250822,20251212
1111000_TR5,1,1,1,1,0,0,0,20250820,20251211
0000101_TR4,0,0,0,0,1,0,1,20250803,20250817
1111000_TR6,1,1,1,1,0,0,0,20250804,20250819
0011100_TR9,0,0,1,1,1,0,0,20250303,20250801
1111101_TR10,1,1,1,1,1,0,1,20250803,20251212
0000010_TR13,0,0,0,0,0,1,0,20250802,20251213
1111100_TR56,1,1,1,1,1,0,0,20241216,20251212
1111111_TR92,1,1,1,1,1,1,1,20241215,20251213
0000010_TR14,0,0,0,0,0,1,0,20241221,20251213
0000011_TR50,0,0,0,0,0,1,1,20241215,20251213
0000011_TR51,0,0,0,0,0,1,1,20250104,20251213
1111100_TR57,1,1,1,1,1,0,0,20250616,20251212
1111111_TR93,1,1,1,1,1,1,1,20250615,20251213
0000011_TR52,0,0,0,0,0,1,1,20250615,20251213
0000011_TR53,0,0,0,0,0,1,1,20241215,20251213
1111100_TR58,1,1,1,1,1,0,0,20241215,20251212
0000011_TR54,0,0,0,0,0,1,1,20241221,20251213
0000011_TR55,0,0,0,0,0,1,1,20241221,20251213
1111100_TR59,1,1,1,1,1,0,0,20241216,20251212
1111000_TR7,1,1,1,1,0,0,0,20250812,20250905
1111100_TR60,1,1,1,1,1,0,0,20250414,20251212
0000010_TR15,0,0,0,0,0,1,0,20250315,20251213
0000011_TR56,0,0,0,0,0,1,1,20250315,20251213
1111101_TR11,1,1,1,1,1,0,1,20250615,20251212
1111111_TR94,1,1,1,1,1,1,1,20250315,20251213
0000010_TR16,0,0,0,0,0,1,0,20241221,20251213
1111100_TR61,1,1,1,1,1,0,0,20241216,20251212
1111100_TR62,1,1,1,1,1,0,0,20250606,20250829
0000011_TR57,0,0,0,0,0,1,1,20241215,20251213
0000001_TR21,0,0,0,0,0,0,1,20250322,20251028
0000100_TR9,0,0,0,0,1,0,0,20250321,20251027
1111100_TR63,1,1,1,1,1,0,0,20241216,20251212
0000011_TR58,0,0,0,0,0,1,1,20241215,20251213
0000100_TR10,0,0,0,0,1,0,0,20250606,20250829
1111000_TR8,1,1,1,1,0,0,0,20250630,20250828
0000100_TR11,0,0,0,0,1,0,0,20250321,20251027
1111100_TR64,1,1,1,1,1,0,0,20241216,20251212
1111100_TR65,1,1,1,1,1,0,0,20241216,20251212
1111100_TR66,1,1,1,1,1,0,0,20250519,20250930
1111100_TR67,1,1,1,1,1,0,0,20241231,20250829
1111100_TR68,1,1,1,1,1,0,0,20241216,20251212
0000011_TR59,0,0,0,0,0,1,1,20250104,20251213
0000011_TR60,0,0,0,0,0,1,1,20241215,20251213
0000010_TR17,0,0,0,0,0,1,0,20241221,20251213
0000001_TR22,0,0,0,0,0,0,1,20241215,20251207
1111111_TR95,1,1,1,1,1,1,1,20241215,20251213
0011100_TR10,0,0,1,1,1,0,0,20250726,20250801
1111111_TR96,1,1,1,1,1,1,1,20241215,20251213
1111111_TR97,1,1,1,1,1,1,1,20241215,20251213
1111111_TR98,1,1,1,1,1,1,1,20241215,20251213
1111111_TR99,1,1,1,1,1,1,1,20241215,20251213
1111111_TR100,1,1,1,1,1,1,1,20250308,20251212
1111111_TR101,1,1,1,1,1,1,1,20250707,20250831
1111100_TR69,1,1,1,1,1,0,0,20250310,20251212
1111100_TR70,1,1,1,1,1,0,0,20250708,20250901
0011000_TR14,0,0,1,1,0,0,0,20241216,20250731
1111100_TR71,1,1,1,1,1,0,0,20250801,20251212
1111111_TR102,1,1,1,1,1,1,1,20250309,20251213
1111111_TR103,1,1,1,1,1,1,1,20250708,20250901
